"word","BBC","CNN","FOX","MSNBC"
"time","64","276","116","273"
"seconds","2","43","17","8"
"threat","36","120","85","118"
"big","22","389","143","261"
"lie","1","249","19","175"
"far","23","80","38","49"
"voting","33","326","59","893"
"jessica","12","69","3","3"
"dean","0","119","16","53"
"ow","0","57","5","5"
"sarah","62","13","13","2"
"implisafe","0","6","0","0"
"X247","0","16","28","34"
"monit","0","6","0","1"
"toluse","0","10","0","0"
"olorunnipa","0","8","0","0"
"X..2","18","1415","121","51"
"passes","4","126","58","182"
"trading","19","17","3","2"
"cryptocurrencies","0","28","1","0"
"carries","0","14","1","1"
"price","157","168","82","73"
"volatility","2","14","0","0"
"market","21","30","16","15"
"deciding","4","20","1","5"
"trade","68","25","10","8"
"consider","15","75","13","43"
"risk","29","307","51","158"
"appetite","1","40","0","6"
"investment","22","39","10","63"
"advice","9","38","16","80"
"recommendation","10","21","3","9"
"available","4","172","122","151"
"jurisdictions","0","12","1","2"
"congress","34","256","63","323"
"X..3","55","833","616","525"
"X12t","0","9","16","9"
"bipartisan","2","89","17","278"
"delivering","9","14","9","2"
"major","76","323","69","144"
"win","99","228","56","190"
"medical","73","357","47","200"
"conditions","29","116","43","99"
"medicines","0","47","4","114"
"take","73","263","86","218"
"final","131","234","106","179"
"four","94","106","30","86"
"awaiting","3","73","70","24"
"results","12","236","70","267"
"key","6","412","51","261"
"battlegrounds","0","1","0","1"
"pa","0","61","32","120"
"ga","0","96","21","67"
"t","152","106","591","490"
"umping","0","1","0","0"
"san","0","53","71","27"
"francisco","0","45","26","13"
"marin","0","1","0","1"
"mateo","0","1","0","0"
"vitamins","0","53","7","50"
"c","119","72","74","64"
"use","25","187","40","395"
"part","43","90","26","86"
"healthy","51","41","0","48"
"diet","0","42","14","57"
"X..4","8","182","208","291"
"X2o21","73","231","226","377"
"abbott","2","97","86","107"
"nn","1","3","90","58"
"l","142","86","805","3961"
"giuliani","0","25","0","36"
"met","58","61","26","50"
"legislators","0","1","0","0"
"january","18","471","17","190"
"X2nd","1","28","20","48"
"via","9","10","7","6"
"paid","19","227","61","115"
"facebook","35","740","114","452"
"resident","5","32","14","12"
"network","10","91","36","37"
"warnermedia","0","39","0","0"
"rights","49","276","105","860"
"reserved","0","59","51","48"
"dupixent","0","16","4","0"
"may","62","711","176","456"
"cause","8","99","70","36"
"allergic","0","64","13","73"
"reactions","0","17","6","22"
"anaphylaxis","2","17","5","1"
"get","74","757","215","375"
"help","76","323","136","101"
"swelling","0","94","19","47"
"face","60","259","156","321"
"mouth","0","17","7","1"
"tongue","0","64","6","40"
"trouble","3","34","23","26"
"breathing","3","93","12","79"
"multiple","0","131","45","109"
"detail","0","31","5","34"
"trumps","0","481","25","488"
"efforts","40","88","41","121"
"overturn","7","219","0","136"
"close","12","109","87","113"
"came","12","43","5","23"
"losing","18","53","40","40"
"preet","0","17","0","0"
"bharara","0","15","0","0"
"us","868","2782","909","1719"
"attorney","14","454","241","186"
"staffer","0","5","0","1"
"fears","23","80","25","28"
"X2o24","1","74","11","95"
"try","9","114","26","28"
"impose","0","3","4","5"
"type","0","30","15","34"
"autocracy","0","1","0","1"
"official","9","248","37","131"
"jeffery","0","4","0","0"
"clark","0","50","4","84"
"pushed","1","71","11","34"
"fraud","2","143","23","165"
"claims","28","389","126","254"
"stonewalls","0","12","3","5"
"committee","40","758","278","500"
"X..5","74","822","616","604"
"eyes","0","52","13","50"
"ag","9","85","206","118"
"garland","0","107","409","90"
"bannon","0","652","11","845"
"contempt","0","459","15","574"
"john","8","257","217","172"
"nixon","0","21","1","1"
"white","35","785","424","756"
"counsel","0","55","25","39"
"retiring","0","15","0","4"
"gop","0","1032","303","1665"
"lawmaker","0","88","12","30"
"warns","12","290","71","144"
"steal","0","68","8","41"
"next.","67","408","43","296"
"charlie","0","27","19","4"
"dent","0","23","0","0"
"october","27","76","55","52"
"jobs","48","320","169","207"
"report","93","348","223","424"
"beats","6","31","16","17"
"expectations","0","18","25","21"
"touts","0","82","21","28"
"job","41","125","89","72"
"numbers","30","52","69","23"
"exceed","0","3","0","17"
"ron","0","101","37","22"
"brownstein","0","57","0","0"
"editor","67","131","32","114"
"atlantic","1","43","5","30"
"adds","7","103","20","35"
"X531ooo","0","48","4","17"
"economy","78","147","111","138"
"catherine","0","29","4","0"
"rampell","0","25","0","0"
"opinion","10","11","19","33"
"columnist","1","48","62","76"
"post","8","116","99","200"
"says","457","826","224","535"
"working","57","113","63","105"
"unemployment","15","31","30","110"
"drops","6","34","26","44"
"lucky","0","1","0","0"
"chances","2","12","3","32"
"admits","12","128","100","42"
"telling","0","52","5","15"
"reporters","0","30","29","4"
"august","51","98","69","79"
"immunized","0","13","0","4"
"nfl","0","153","49","54"
"player","6","37","16","18"
"consulted","0","4","0","4"
"joe","6","246","232","244"
"rogan","0","86","22","3"
"took","53","90","14","58"
"ivermectin","0","16","15","15"
"among","35","194","52","149"
"covid","561","1884","534","1329"
"infection","6","112","16","75"
"defends","1","154","144","111"
"spreads","1","25","8","24"
"misinformation","0","88","6","100"
"trial","154","330","39","170"
"three","74","136","12","104"
"men","16","67","19","46"
"ahmaud","0","145","1","35"
"begins","9","146","18","76"
"today","73","622","217","496"
"sobs","0","7","0","0"
"videos","0","37","4","5"
"body","23","92","90","39"
"played","8","18","1","0"
"shows","46","292","149","131"
"defendant","0","32","1","13"
"stop","31","233","69","136"
"blow","0","33","3","12"
"f","44","22","229","104"
"ing","0","4","6","3"
"head","51","148","55","90"
"felt","15","32","2","4"
"duty","5","46","17","15"
"protect","14","159","30","178"
"neighborhood","0","18","2","3"
"underway","12","103","45","77"
"despite","15","108","88","134"
"judge","47","227","75","249"
"saying","1","28","5","11"
"appeared","5","2","5","5"
"intentional","0","27","1","8"
"discrimination","0","30","4","17"
"jury","0","166","23","124"
"selection","0","52","3","40"
"videq","0","84","12","1"
"plays","2","10","10","16"
"page","0","24","9","11"
"pate","0","6","0","0"
"defense","1","200","97","57"
"witness","10","80","9","5"
"kyle","0","62","8","32"
"rittenhouse","0","106","10","52"
"first","303","651","241","516"
"victim","8","46","28","8"
"acted","0","24","10","7"
"belligerently","0","8","0","0"
"virginia","33","422","263","466"
"elects","8","1","4","1"
"woman","36","134","119","57"
"color","0","16","5","58"
"lt","43","96","100","88"
"governor","41","357","221","278"
"npt","0","1","0","0"
"s","252","80","734","330"
"optional","0","18","1","7"
"features","4","12","18","23"
"shown","0","61","10","112"
"additional","5","38","6","27"
"cost","31","118","66","59"
"winsome","0","1","34","4"
"sears","0","1","36","4"
"elected","9","26","5","38"
"virginias","19","21","7","12"
"hold","28","322","40","319"
"approves","10","61","16","57"
"total","2","39","5","57"
"around","39","111","38","114"
"X12","45","128","52","74"
"trillion","1","219","50","69"
"pfizer","34","478","80","329"
"pill","24","163","36","145"
"X89","0","17","3","21"
"effective","1","140","41","122"
"hospitalizations","1","145","3","47"
"deaths","44","329","41","146"
"seek","11","72","20","120"
"emergency","28","267","31","111"
"authorization","0","78","3","35"
"experimental","1","22","2","1"
"drug","13","72","51","72"
"italy","41","14","0","7"
"green","51","54","47","14"
"pass","29","176","59","309"
"success","5","18","14","16"
"initiative","9","5","2","8"
"led","39","27","19","26"
"lower","20","52","14","39"
"number","77","208","72","87"
"cases","95","530","55","339"
"end","74","229","41","124"
"sight","1","15","5","0"
"amid","20","491","344","247"
"europes","4","17","0","0"
"surge","32","275","245","121"
"five","14","52","29","17"
"european","7","14","2","12"
"countries","102","52","7","35"
"saw","17","40","34","8"
"record","49","139","102","47"
"week","70","374","93","324"
"germany","158","24","3","6"
"greece","6","6","0","0"
"slovakia","0","3","0","0"
"croatia","0","2","0","0"
"slovenia","0","2","0","0"
"reported","36","102","23","26"
"nine","7","40","3","9"
"opposition","45","42","13","47"
"groups","10","47","12","78"
"form","41","27","2","3"
"alliance","8","27","8","19"
"oust","0","11","1","3"
"pm","570","70","15","38"
"abiy","0","21","0","0"
"mckenzie","9","20","8","2"
"pressure","49","115","49","167"
"rebel","1","13","7","0"
"fighters","8","24","31","5"
"advance","1","36","11","64"
"joint","27","35","24","56"
"X16okm","2","1","0","0"
"addis","2","1","0","0"
"ababa","2","1","0","0"
"government","356","132","81","91"
"officials","35","328","89","354"
"publicity","0","3","3","0"
"stunt","0","5","5","0"
"one","141","338","70","243"
"person","7","81","78","70"
"X36","10","4","11","19"
"injured","41","75","62","37"
"clashes","5","10","8","5"
"riot","15","143","16","157"
"police","291","1075","494","590"
"supporters","0","51","9","159"
"iran.backed","0","1","0","0"
"militias","0","5","0","0"
"protest","48","61","50","97"
"german","29","24","2","16"
"diplomat","1","10","2","11"
"found","79","328","106","85"
"dead","31","296","138","185"
"berlin","3","5","0","0"
"believed","17","49","13","11"
"secret","11","206","73","65"
"agent","4","64","43","118"
"russias","1","28","1","9"
"fsb","0","4","0","0"
"teltige","0","8","0","0"
"least","66","392","110","161"
"eight","16","16","5","9"
"houston","0","120","62","35"
"music","5","55","35","59"
"festival","3","93","30","67"
"pause","48","42","10","30"
"scan","7","10","15","42"
"oct","23","64","14","124"
"falls","3","48","13","17"
"conaressional","0","8","0","0"
"added","0","18","20","75"
"last","102","205","120","122"
"month","59","119","104","87"
"outpaced","0","2","0","1"
"economists","1","10","2","2"
"predictions","0","19","9","0"
"lowest","0","33","5","7"
"level","15","33","15","14"
"since","135","299","141","231"
"X2o2o","32","253","55","437"
"man","38","220","89","103"
"shot","19","266","189","141"
"emotional","0","44","14","24"
"named","8","17","15","19"
"probe","24","217","179","154"
