utc_time,network,seconds_on_screen,program,text
2021-09-03 04:05:00,MSNBCW,20,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/300,BIDEN TO VISIT LOUISIANA AS STATE RECOVERS FROM ID
2021-09-03 04:06:00,MSNBCW,33,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/360,BIDEN URGES CONGRESS TO PASS BUILD BACK BETTER PLAN AS CLIMATE CATASTROPHES TEST AMERICAS INFRASTRUCTURI
2021-09-03 04:10:00,MSNBCW,22,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/600,NY NJ FACE CATASTROPHIC FLOODING AS IDA MOVES NORTH
2021-09-03 04:11:00,MSNBCW,31,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/660,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 04:32:00,MSNBCW,38,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/1920,SUPREME COURT GUTS ROE V WADE IN 5-4 VOTE
2021-09-03 04:34:00,MSNBCW,48,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/2040,SUPREME COURT ENDS 50 YEARS OF PRECEDENT ALLOWS TEXAS BAN ON ABORTION TO TAKE EFFECT
2021-09-03 04:35:00,MSNBCW,62,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/2100,IN UNSIGNED OPINION 5 SUPREME COURT JUSTICES BLOCK TEXAS BAN ON ABORTION
2021-09-03 04:54:00,MSNBCW,34,MSNBCW_20210903_040000_The_Rachel_Maddow_Show/start/3240,DEMS PLANNING NEW PUSH TO CODIFY ABORTION RIGHTS INTO FEDERAL LAW
2021-09-03 08:02:00,MSNBCW,11,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/120,PA PERFORMS THOUSANDS OF WATER RESCUES AMID HISTORIC NORTHEAST FLOODING
2021-09-03 08:03:00,MSNBCW,23,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/180,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISANA
2021-09-03 08:07:00,MSNBCW,32,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/420,BIDEN PLEDGES FEMA SUPPORT TO STATES HARDHIT BY CLIMATE DISASTERS
2021-09-03 08:08:00,MSNBCW,15,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/480,CLIMATE DISASTERS TEAR THROUGH MUCH OF U
2021-09-03 08:10:00,MSNBCW,33,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/600,HUNDREDS OF THOUSANDS STILL WITHOUT POWER IN LOUISIANA
2021-09-03 08:12:00,MSNBCW,46,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/720,BIDEN TO VISIT LOUISIANA AS STATE RECOVERS FROM IDA
2021-09-03 08:31:00,MSNBCW,26,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/1860,SUPREME COURT BREAKS SILENCE WONT BLOCK TEXAS ABORTION LAW
2021-09-03 08:43:00,MSNBCW,12,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/2580,DEMOCRATS PROMISE FEDERAL BACKSTOP TO PROTECT ABORTION RIGHTS IN 1992
2021-09-03 08:53:00,MSNBCW,45,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/3180,DEMS PLANNING NEW PUSH TO CODIFY ABORTION RIGHTS INTO FEDERAL LAW
2021-09-03 08:54:00,MSNBCW,20,MSNBCW_20210903_080000_The_Rachel_Maddow_Show/start/3240,DEM PLANS TO PASS FEDERAL ABORTION PROTECTIONS REEMERGE AFTER SUPREME COURT ALLOWS TEXAS BAN
2021-09-08 01:13:00,MSNBCW,12,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/780,RACE FOR VA GOV REMAINS CLOSE BEFORE ELECTION DAY
2021-09-08 01:19:00,MSNBCW,23,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/1140,HARVARD LAW SCHOOL PROFESSOR. LAURENCE TRIBE DOJ SHOULD USE FEDERAL LAW TO DETEF INDIVIDUALS FROM USING NEW TX ABORTION LAW.
2021-09-08 01:21:00,MSNBCW,45,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/1260,LAURENCE TRIBE SUCCESSFULLY ARGUED 1982 SCOTUS CASE THAT MAY BE USED TO FIGHT TEXAS ABORTION LAW
2021-09-08 01:41:00,MSNBCW,31,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2460,TX GOV ABBOTT SIGNS RESTRICTIVE VOTING BIL
2021-09-08 01:43:00,MSNBCW,35,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2580,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES.
2021-09-08 01:45:00,MSNBCW,47,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2700,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES
2021-09-08 01:47:00,MSNBCW,3,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/2820,NEW TX VOTING LAW ALREADY FACES LAWSUIT
2021-09-08 01:52:00,MSNBCW,25,MSNBCW_20210908_010000_The_Rachel_Maddow_Show/start/3120,AMERICANS WELCOME AFGHAN REFUGEES FLEEING TALIBAN RUI
2021-09-08 04:41:00,MSNBCW,29,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2460,TX GOV ABBOTT SIGNS RESTRICTIVE VOTING BIL
2021-09-08 04:43:00,MSNBCW,37,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2580,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES.
2021-09-08 04:45:00,MSNBCW,54,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/2700,NEW RESTRICTIVE TX VOTING LAW FACES AT LEAST 5 LEGAL CHALLENGES
2021-09-08 04:52:00,MSNBCW,25,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3120,AMERICANS WELCOME AFGHAN REFUGEES FLEEING TALIBAN RUI
2021-09-08 04:54:00,MSNBCW,31,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3240,TALIBAN VIOLENTLY BROKE UP WOMENS RIGHTS PROTEST THIS WEEKEND
2021-09-08 04:55:00,MSNBCW,9,MSNBCW_20210908_040000_The_Rachel_Maddow_Show/start/3300,AFGHAN WOMEN PROTEST DEFY TALIBAN DEMAND RIGHT
2021-09-09 01:08:00,MSNBCW,14,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/480,MAN ACCUSED OF BRINGING MOLOTOV COCKTAILS LOADEL FIREARMS TO CAPITOL ON JAN 6 WAS ARRESTED
2021-09-09 01:12:00,MSNBCW,16,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/720,PROTECTIVE FENCING TO BE REINSTALLED AROUND CAPITOL AHEAD OF SEPT 18 RALLY
2021-09-09 01:35:00,MSNBCW,33,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2100,ELECTION OFFICIALS NATIONWIDE FACE THREATS OVER 2020 ELECTION
2021-09-09 01:36:00,MSNBCW,49,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2160,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 01:37:00,MSNBCW,36,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2220,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 01:45:00,MSNBCW,10,MSNBCW_20210909_010000_The_Rachel_Maddow_Show/start/2700,ARTIST RECORDED STORIES OF 911 IN MONTHS AFTER TERRORIST ATTACKS
2021-09-09 04:01:00,MSNBCW,22,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/60,FBI RELEASES MAP SHOWING POTENTIAL PATH OF SUSPECTED DC PIPE BOMBER
2021-09-09 04:05:00,MSNBCW,11,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/300,AUGUST 19 SECOND BOMB SCARE IN DC MONTHS AFTER PIPE BOMBS FOUND JAN 6
2021-09-09 04:33:00,MSNBCW,36,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/1980,BIPARTISAN ELECTIONS OFFICIALS JOIN EFFORT TO PROTECT ELECTION WORKERS FROM THREATS
2021-09-09 04:34:00,MSNBCW,33,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/2040,ELECTION OFFICIALS NATIONWIDE FACE THREATS OVER 2020 ELECTION
2021-09-09 04:35:00,MSNBCW,35,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/2100,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 04:43:00,MSNBCW,25,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/2580,EXPERIENCES OF 911 WITNESSES AND VICTIMS FAMILY MEMBERS MEMORIALIZED IN NEW DOCUMENTARY.
2021-09-09 04:44:00,MSNBCW,12,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/2640,ARTIST RECORDED STORIES OF 911 IN MONTHS AFTER TERRORIST ATTACKS
2021-09-09 04:45:00,MSNBCW,40,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/2700,HUSBAND REMEMBERS LATE WIFE IN NEW 911 DOCUMENTAR
2021-09-09 04:59:00,MSNBCW,13,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/3540,NEW VIDEO RELEASED OF JAN 6 PIPE BOMB SUSPEC
2021-09-09 05:00:00,MSNBCW,23,MSNBCW_20210909_040000_The_Rachel_Maddow_Show/start/3600,NEW VIDEO RELEASED OF JAN 6 PIPE BOMB SUSPEC
2021-09-09 08:35:00,MSNBCW,33,MSNBCW_20210909_080000_The_Rachel_Maddow_Show/start/2100,ELECTION OFFICIALS NATIONWIDE FACE THREATS OVER 2020 ELECTION
2021-09-09 08:36:00,MSNBCW,48,MSNBCW_20210909_080000_The_Rachel_Maddow_Show/start/2160,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 08:37:00,MSNBCW,37,MSNBCW_20210909_080000_The_Rachel_Maddow_Show/start/2220,ELECTION WORKERS CONTINUE TO FACE THREAT
2021-09-09 08:45:00,MSNBCW,11,MSNBCW_20210909_080000_The_Rachel_Maddow_Show/start/2700,ARTIST RECORDED STORIES OF 911 IN MONTHS AFTER TERRORIST ATTACKS
2021-09-10 04:15:00,MSNBCW,17,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/900,BIDEN ANNOUNCES NEW PLAN TO CONFRONT COVI
2021-09-10 04:16:00,MSNBCW,35,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/960,BIDEN NEARLY 8O MILLION AMERICANS HAVE FAILED TO GET VACCINATED
2021-09-10 04:17:00,MSNBCW,51,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1020,S BIDEN URGES UNVACCINATED AMERICANS TO PLEASE DO THE RIGHT THING
2021-09-10 04:20:00,MSNBCW,28,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1200,BIDEN SIGNS EXECUTIVE ORDER REQUIRING LARGE EMPLOYERS TO ENSURE WORKFORCE IS FULLY VACCINATEIL
2021-09-10 04:21:00,MSNBCW,33,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1260,BIDEN SIGNS EXECUTIVE ORDER REQUIRING LARGE 2 EMPLOYERS TO ENSURE WORKFORCE IS FULLY VACCINATEI
2021-09-10 04:22:00,MSNBCW,26,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1320,BIDEN SIGNS EXECUTIVE ORDER MANDATING VACCINES FOR FEDERAL WORKERS CONTRACTORS
2021-09-10 04:23:00,MSNBCW,28,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1380,BIDEN URGES PEOPLE TO GET VACCINATED OUR PATIENCE IS WEARING THIN
2021-09-10 04:24:00,MSNBCW,48,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1440,WH ANNOUNCES WALMART AMAZON KROGER WILL SUBSIDIZE ATHOME RAPID COVID TESTS
2021-09-10 04:33:00,MSNBCW,43,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/1980,JUSTICE DEPT SUES TEXAS OVER RESTRICTIVE ABORTION LA
2021-09-10 04:35:00,MSNBCW,48,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2100,DOJ SUES TX OVER UNCONSTITUTIONAL ABORTION LA
2021-09-10 04:36:00,MSNBCW,31,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2160,DOJ SUES TX OVER UNCONSTITUTIONAL ABORTION LA
2021-09-10 04:44:00,MSNBCW,8,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2640,J LAWMAKERS BRACE FOR SEPT 18 RALLY IN SUPPORT OF CAPITOL RIOTERS
2021-09-10 04:45:00,MSNBCW,29,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2700,LAWMAKERS BRACE FOR SEPT 18 RALLY IN SUPPORT OF CAPITOL RIOTERS
2021-09-10 04:47:00,MSNBCW,30,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2820,POLICE TO REINSTALL CAPITOL FENCE AHEAD OF SEPT 18 RALLY
2021-09-10 04:48:00,MSNBCW,16,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2880,LAWMAKERS BRACE FOR SEPT 18 RALLY IN SUPPORT OF CAPITOL RIOTERS
2021-09-10 04:49:00,MSNBCW,32,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/2940,JAN 6 CMTE WAITING ON REQUESTED DOCUMENTS FROM GOVERNMENT AGENCIES SOCIAL MEDIA COMPANIES
2021-09-10 04:50:00,MSNBCW,8,MSNBCW_20210910_040000_The_Rachel_Maddow_Show/start/3000,REP LOFGREN QUITE A BIT OF INFO ON JAN 6 HAS COME IN
2021-09-10 08:15:00,MSNBCW,16,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/900,TWOTHIRDS OF US WORKERS EXPECTED TO BE AFFECTED BY NEW VACCINE REQUIREMENTS
2021-09-10 08:16:00,MSNBCW,30,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/960,BIDEN NEARLY 8O MILLION AMERICANS HAVE FAILED TO GET VACCINATED
2021-09-10 08:20:00,MSNBCW,33,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1200,BIDEN SIGNS EXECUTIVE ORDER REQUIRING LARGE EMPLOYERS TO ENSURE WORKFORCE IS FULLY VACCINATEIL
2021-09-10 08:21:00,MSNBCW,26,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1260,BIDEN SIGNS EXECUTIVE ORDER MANDATING VACCINES FOR FEDERAL WORKERS CONTRACTORS
2021-09-10 08:22:00,MSNBCW,19,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1320,BIDEN TO UNVACCINATED AMERICANS YOUR REFUSAL HAS COST ALL OF US
2021-09-10 08:23:00,MSNBCW,18,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1380,BIDEN URGES PEOPLE TO GET VACCINATED OUR PATIENCE IS WEARING THIN
2021-09-10 08:24:00,MSNBCW,50,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1440,WH ANNOUNCES WALMART AMAZON KROGER WILL SUBSIDIZE ATHOME RAPID COVID TESTS
2021-09-10 08:31:00,MSNBCW,8,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1860,ARIZONA PASSES CONTROVERSIAL ANTI-IMMIGRATION LAW
2021-09-10 08:32:00,MSNBCW,5,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/1920,JUSTICE DEPT SUES TEXAS OVER RESTRICTIVE ABORTION LA
2021-09-10 08:35:00,MSNBCW,62,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2100,DOJ SUES TX OVER UNCONSTITUTIONAL ABORTION LA
2021-09-10 08:36:00,MSNBCW,29,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2160,BIDEN ADMIN CHALLENGES TX NEARTOTAL BAN ABORTION
2021-09-10 08:42:00,MSNBCW,17,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2520,FENCING REMAINED AROUND CAPITOL FOR SIX MONTHS AFTER JAN 6 ATTACK
2021-09-10 08:45:00,MSNBCW,34,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2700,LAW ENFORCEMENT PREPARING FOR SEPT 18 RALLY IND
2021-09-10 08:47:00,MSNBCW,19,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2820,POLICE TO REINSTALL CAPITOL FENCE AHEAD OF SEPT 18 RALLY
2021-09-10 08:48:00,MSNBCW,40,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2880,TODAY MARKS DEADLINE FOR FEDERAL AGENCIES TO COMPLY WITH RECORDS REQUEST BY JAN 6 CMTE
2021-09-10 08:49:00,MSNBCW,32,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/2940,JAN 6 CMTE WAITING ON REQUESTED DOCUMENTS FROM GOVERNMENT AGENCIES SOCIAL MEDIA COMPANIES
2021-09-10 08:54:00,MSNBCW,39,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/3240,FIRST INTERNATIONAL PASSENGER FLIGHT DEPARTS KABUL SINCE US WITHDRAWAL
2021-09-10 09:00:00,MSNBCW,34,MSNBCW_20210910_080000_The_Rachel_Maddow_Show/start/3600,WILL BIDENS STRATEGY GET DELTA UNDER CONTROL
2021-09-11 01:01:00,MSNBCW,19,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/60,MIAMIINTL AIRPORT USING TRAINED DOGS TO DETECT COV
2021-09-11 01:06:00,MSNBCW,21,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/360,DOGS TRAINED TO ACCURATELY DETECT COVID INFECTIONS AT MIAMI INTL AIRPORT
2021-09-11 01:11:00,MSNBCW,13,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/660,BIDEN TELLS GOVERNORS THREATENING TO SUE OVER VACCINE MANDATE HAVE AT IT
2021-09-11 01:19:00,MSNBCW,32,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1140,GOP GOVS THREATEN TO SUE BIDEN OVER VACCINE MANDAI
2021-09-11 01:20:00,MSNBCW,38,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1200,TWOTHIRDS OF US WORKERS EXPECTED TO BE AFFECTED BY NEW VACCINE REQUIREMENTS
2021-09-11 01:21:00,MSNBCW,35,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1260,BIDEN TELLS GOVERNORS THREATENING TO SUE OVER VACCINE MANDATE HAVE AT IT
2021-09-11 01:22:00,MSNBCW,36,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1320,TWOTHIRDS OF US WORKERS EXPECTED TO BE AFFECTED BY NEW VACCINE REQUIREMENTS
2021-09-11 01:23:00,MSNBCW,54,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1380,BIDEN SIGNS EXECUTIVE ORDER MANDATING VACCINES FOR FEDERAL WORKERS CONTRACTORS
2021-09-11 01:28:00,MSNBCW,11,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1680,DOD MEDICAL TEAM STAFF ARRIVE IN IDAHO TO SUPPORT OVERRUN HOSPITAL
2021-09-11 01:32:00,MSNBCW,58,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1920,IDAHO HEALTH OFFICIALS ARE CONSIDERING RATIONING CARE IN SOME OVERBURDENED HOSPITALS
2021-09-11 01:33:00,MSNBCW,36,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/1980,LESS THAN 40 OF IDAHOS POPULATION ARE FULLY VACCINATED
2021-09-11 01:34:00,MSNBCW,43,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2040,LESS THAN 40 OF IDAHOS POPULATION ARE FULLY VACCINATED
2021-09-11 01:35:00,MSNBCW,37,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2100,IDAHO HAS ONE OF THE LOWEST VACCINATION RATES IN THE COUNTRY
2021-09-11 01:36:00,MSNBCW,28,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2160,IDAHOS GOVERNOR CALLS BIDENS VACCINE MANDATE GOVERNMENT OVERREACH
2021-09-11 01:41:00,MSNBCW,18,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2460,FIRESIDE HISTORY WITH MICHAEL BESCHLOSS GIVES A PRESENTDAY PERSPECTIVE ON HISTORICAL EVENTS
2021-09-11 01:44:00,MSNBCW,18,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2640,NEW SHOW FIRESIDE HISTORY FROM NBC PRESIDENTIAL HISTORIA MICHAEL BESCHLOSS STREAMING ON PEACOCK
2021-09-11 01:46:00,MSNBCW,43,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2760,NBC NEWS MICHAEL BESCHLOSS PRESIDENTIAL HISTORI.
2021-09-11 01:47:00,MSNBCW,55,MSNBCW_20210911_010000_The_Rachel_Maddow_Show/start/2820,NEW SHOW FIRESIDE HISTORY FROM NBC PRESIDENTIAL HISTORIA MICHAEL BESCHLOSS STREAMING ON PEACOCK
